/Vtemp (vdc=1.6) X,/Vtemp (vdc=1.6) Y,/Vtemp (vdc=2) X,/Vtemp (vdc=2) Y,/Vtemp (vdc=2.4) X,/Vtemp (vdc=2.4) Y,/Vtemp (vdc=2.8) X,/Vtemp (vdc=2.8) Y,/Vtemp (vdc=3.2) X,/Vtemp (vdc=3.2) Y
0,0.9691805109156446,0,0.807148766136181,0,0.8061530332934751,0,0.8064651261738957,0,0.8073127036314396
1.4,0.9726873078351879,1.4,0.8079262783724017,1.4,0.8069900303685504,1.4,0.8072968730354478,1.4,0.8081400040850154
2.8,0.9761037818923124,2.8,0.8087909892328115,2.8,0.8078275665035166,2.8,0.8081289727431559,2.8,0.8089671227559607
4.199999999999999,0.9794245053556541,4.199999999999999,0.8096562681705267,4.199999999999999,0.8086648739013844,4.199999999999999,0.8089608353732455,4.199999999999999,0.8097939835790675
5.6,0.9826485038013669,5.6,0.8105221309862644,5.6,0.8095019520485138,5.6,0.8097924602336288,5.6,0.8106205859673274
7,0.9857755649903103,7,0.8113886104144087,7,0.81033880078938,7,0.8106238470650607,7,0.8114469298030087
8.4,0.9888063561344047,8.4,0.8122557379851829,8.4,0.811175419996199,8.4,0.8114549956229242,8.4,0.8122730149810932
9.800000000000001,0.9917422749305288,9.800000000000001,0.813123546484286,9.800000000000001,0.812011809566597,9.800000000000001,0.8122859056753019,9.800000000000001,0.813098841406945
11.2,0.9945853044170103,11.2,0.8139920699989543,11.2,0.8128479694233053,11.2,0.8131165770021046,11.2,0.8139244089958209
12.6,0.9973378777941106,12.6,0.8148613439662546,12.6,0.8136838995126544,12.6,0.813947009393544,12.6,0.8147497176712916
14,1.000002757839738,14,0.8157314052224149,14,0.8145195998039585,14,0.8147772026494814,14,0.81557476736429
15.4,1.002582933097868,15.4,0.8166022920537975,15.4,0.8153550702889424,15.4,0.8156071565777629,15.4,0.8163995580121676
16.8,1.005081531172441,16.8,0.8174740442496149,16.8,0.8161903109804436,16.8,0.8164368709940728,16.8,0.8172240895572462
18.2,1.007501748248838,18.2,0.8183467031558287,18.2,0.8170253219121412,18.2,0.8172663457199763,18.2,0.8180483619461317
19.6,1.009846793246259,19.6,0.8192203117303711,19.6,0.8178601031372875,19.6,0.8180955805824167,19.6,0.8188723751284797
21,1.012119844688005,21,0.8200949146005972,21,0.8186946547282836,21,0.8189245754126092,21,0.8196961290557212
22.4,1.014324018298561,22.4,0.8209705581210901,22.4,0.8195289767762476,22.4,0.8197533300447354,22.4,0.8205196236807059
23.79999999999999,1.01646234343967,23.79999999999999,0.8218472904332527,23.79999999999999,0.8203630693894333,23.79999999999999,0.8205818443154234,23.79999999999999,0.8213428589557386
25.19999999999999,1.01853774323639,25.19999999999999,0.8227251606824874,25.19999999999999,0.8211969321140709,25.19999999999999,0.8214101180080134,25.19999999999999,0.8221658355823536
26.59999999999999,1.020553013333864,26.59999999999999,0.8236042164228463,26.59999999999999,0.8220305620455902,26.59999999999999,0.8222381504836569,26.59999999999999,0.8229885569842103
27.99999999999999,1.022510867616108,27.99999999999999,0.8244845164951443,27.99999999999999,0.8228639627096198,27.99999999999999,0.8230659417632052,27.99999999999999,0.823811018420083
29.39999999999999,1.024413876490529,29.39999999999999,0.8253661167982412,29.39999999999999,0.8236971342687343,29.39999999999999,0.8238934916700827,29.39999999999999,0.8246332198158798
30.79999999999999,1.026264487274996,30.79999999999999,0.8262490753411634,30.79999999999999,0.8245300769104774,30.79999999999999,0.8247208000379825,30.79999999999999,0.8254551611091295
32.19999999999999,1.028065025661976,32.19999999999999,0.8271334522990075,32.19999999999999,0.8253627908358003,32.19999999999999,0.8255478666967909,32.19999999999999,0.8262768422310947
33.59999999999999,1.029817698614408,33.59999999999999,0.828019310079225,33.59999999999999,0.8261952762583505,33.59999999999999,0.8263746914717632,33.59999999999999,0.8270982631047058
34.99999999999999,1.031524598199568,34.99999999999999,0.828906713387402,34.99999999999999,0.8270275334038053,34.99999999999999,0.8272012741816952,34.99999999999999,0.8279194236449176
36.39999999999998,1.033187704194983,36.39999999999998,0.8297957292936352,36.39999999999998,0.8278595625091486,36.39999999999998,0.828027614636947,36.39999999999998,0.8287403237579632
37.79999999999998,1.034808892848158,37.79999999999998,0.8306864272877084,37.79999999999998,0.8286913638190454,37.79999999999998,0.8288537126434067,37.79999999999998,0.8295609633382236
39.19999999999998,1.036389941405583,39.19999999999998,0.8315788792998876,39.19999999999998,0.8295229375938774,39.19999999999998,0.8296795679957302,39.19999999999998,0.8303813422678819
40.59999999999998,1.037932529912428,40.59999999999998,0.8324731599591327,40.59999999999998,0.8303542841004629,40.59999999999998,0.8305051804782796,40.59999999999998,0.831201460415929
41.99999999999998,1.039438248022507,41.99999999999998,0.8333693464432961,41.99999999999998,0.8311854036137083,41.99999999999998,0.83133054986364,41.99999999999998,0.8320213176364352
43.39999999999998,1.040908599932678,43.39999999999998,0.8342675186186018,43.39999999999998,0.8320162964160849,43.39999999999998,0.8321556759117897,43.39999999999998,0.8328409137677139
44.79999999999998,1.042345009144486,44.79999999999998,0.8351677590982837,44.79999999999998,0.8328469627965052,44.79999999999998,0.8329805583684827,44.79999999999998,0.833660248630552
46.19999999999997,1.043748823014555,46.19999999999997,0.8360701533000854,46.19999999999997,0.8336774030496231,46.19999999999997,0.8338051969638364,46.19999999999997,0.8344793220268422
47.59999999999997,1.045121317072417,47.59999999999997,0.8369747895022874,47.59999999999997,0.8345076174748152,47.59999999999997,0.8346295914112906,47.59999999999997,0.8352981337382006
48.99999999999997,1.046463699087701,48.99999999999997,0.8378817588958234,48.99999999999997,0.8353376063750584,48.99999999999997,0.8354537414055871,48.99999999999997,0.8361166835240095
50.39999999999997,1.047777112886029,50.39999999999997,0.8387911556336276,50.39999999999997,0.8361673700558286,50.39999999999997,0.8362776466216312,50.39999999999997,0.8369349711200794
51.79999999999997,1.049062641913113,51.79999999999997,0.8397030768748915,51.79999999999997,0.8369969088240521,51.79999999999997,0.8371013067124802,51.79999999999997,0.8377529962364518
53.19999999999997,1.050321312557368,53.19999999999997,0.8406176228253968,53.19999999999997,0.8378262229865322,53.19999999999997,0.8379247213076686,53.19999999999997,0.838570758555623
54.59999999999997,1.051554097250485,54.59999999999997,0.841534896772167,54.59999999999997,0.8386553128489501,54.59999999999997,0.8387478900112295,54.59999999999997,0.8393882577305476
55.99999999999996,1.052761917369956,55.99999999999996,0.8424550051126727,55.99999999999996,0.8394841787139322,55.99999999999996,0.8395708123998835,55.99999999999996,0.8402054933821588
57.39999999999996,1.053945645973989,57.39999999999996,0.8433780573770393,57.39999999999996,0.8403128208798153,57.39999999999996,0.8403934880205089,57.39999999999996,0.8410224650971703
58.79999999999996,1.055106110406546,58.79999999999996,0.844304166243511,58.79999999999996,0.8411412396386004,58.79999999999996,0.8412159163877253,58.79999999999996,0.8418391724253298
60.19999999999996,1.056244094801185,60.19999999999996,0.8452334475460965,60.19999999999996,0.8419694352740559,60.19999999999996,0.842038096981803,60.19999999999996,0.8426556148767793
61.59999999999996,1.057360342505175,61.59999999999996,0.8461660202735871,61.59999999999996,0.8427974080597235,61.59999999999996,0.842860029245411,61.59999999999996,0.8434717919189288
62.99999999999996,1.058455558429261,62.99999999999996,0.847102006559504,62.99999999999996,0.8436251582564819,62.99999999999996,0.8436817125807874,62.99999999999996,0.8442877029731695
64.39999999999996,1.059530411306225,64.39999999999996,0.8480415316621734,64.39999999999996,0.8444526861098756,64.39999999999996,0.8445031463465421,64.39999999999996,0.8451033474114661
65.79999999999997,1.060585535828365,65.79999999999997,0.8489847239344287,65.79999999999997,0.8452799918475711,65.79999999999997,0.8453243298540266,65.79999999999997,0.8459187245523576
67.19999999999997,1.061621534623883,67.19999999999997,0.8499317147819078,67.19999999999997,0.8461070756762276,67.19999999999997,0.8461452623637427,67.19999999999997,0.8467338336566738
68.59999999999998,1.062638980036897,68.59999999999998,0.8508826386093662,68.59999999999998,0.8469339377778582,68.59999999999998,0.8469659430807387,68.59999999999998,0.8475486739233918
70,1.063638415689547,70,0.8518376327548154,70,0.8477605783066243,70,0.847786371150432,70,0.8483632444840817
