/Vref (vdc=1.6) X,/Vref (vdc=1.6) Y,/Vref (vdc=2) X,/Vref (vdc=2) Y,/Vref (vdc=2.4) X,/Vref (vdc=2.4) Y,/Vref (vdc=2.8) X,/Vref (vdc=2.8) Y,/Vref (vdc=3.2) X,/Vref (vdc=3.2) Y
0,0.9998450433476813,0,0.9999501076451318,0,0.9998860240819131,0,0.9999408388046473,0,1.000019994682145
1.4,0.9998617241841516,1.4,0.9998797429777997,1.4,0.9999027959930294,1.4,0.9999572067067681,1.4,1.000036117250589
2.8,0.999878312122163,2.8,0.9998968377899944,2.8,0.9999195003994461,2.8,0.9999733305646953,2.8,1.000051492400233
4.199999999999999,0.9998941293204687,4.199999999999999,0.9999131879475386,4.199999999999999,0.9999354462303178,4.199999999999999,0.9999886890541456,4.199999999999999,1.000066093238288
5.6,0.9999091791957717,5.6,0.9999287869775659,5.6,0.9999506371946858,5.6,1.000003285814421,5.6,1.00007992331672
7,0.9999234655488777,7,0.9999436390344638,7,0.9999650774076523,7,1.000017124889729,7,1.000092986593607
8.4,0.999936992114222,8.4,0.9999577482116826,8.4,0.999978770931645,8.4,1.000030210269364,8.4,1.000105286970012
9.800000000000001,0.9999497625606668,9.800000000000001,0.9999711185509103,9.800000000000001,0.9999917217764704,9.800000000000001,1.00004254588792,9.800000000000001,1.000116828289417
11.2,0.9999617804907418,11.2,0.9999837540423708,11.2,1.000003933900507,11.2,1.000054135626041,11.2,1.000127614338878
12.6,0.9999730494409041,12.6,0.9999956586256135,12.6,1.000015411210559,12.6,1.000064983310553,12.6,1.000137648849082
14,0.9999835728803578,14,1.000006836189827,14,1.000026157562597,14,1.000075092715329,14,1.00014693549495
15.4,0.9999933542107133,15.4,1.000017290574218,15.4,1.000036176762483,15.4,1.000084467561196,15.4,1.000155477896241
16.8,1.000002396764855,16.8,1.00002702556862,16.8,1.000045472565922,16.8,1.000093111517229,16.8,1.000163279617589
18.2,1.000010703806246,18.2,1.000036044913749,18.2,1.00005404867937,18.2,1.000101028200248,18.2,1.000170344169251
19.6,1.000018278527042,19.6,1.000044352301337,19.6,1.000061908759963,19.6,1.000108221175714,19.6,1.000176675007286
21,1.00002512404703,21,1.000051951374999,21,1.000069056416152,21,1.000114693957984,21,1.000182275533674
22.4,1.000031243411098,22.4,1.000058845730116,22.4,1.000075495208373,22.4,1.00012045001029,22.4,1.000187149097249
23.79999999999999,1.000036639584604,23.79999999999999,1.000065038914131,23.79999999999999,1.000081228648483,23.79999999999999,1.000125492745564,23.79999999999999,1.000191298993059
25.19999999999999,1.000041314178405,25.19999999999999,1.000070533629847,25.19999999999999,1.000086259641991,25.19999999999999,1.000129825483164,25.19999999999999,1.000194729212273
26.59999999999999,1.000045263453196,26.59999999999999,1.000075329230644,26.59999999999999,1.000090588664703,26.59999999999999,1.000133451119234,26.59999999999999,1.000197446418344
27.99999999999999,1.000048497612846,27.99999999999999,1.000079433821232,27.99999999999999,1.00009422233437,27.99999999999999,1.000136373034789,27.99999999999999,1.000199449070834
29.39999999999999,1.000051019263378,29.39999999999999,1.000082850752733,29.39999999999999,1.000097163964215,29.39999999999999,1.000138594430985,29.39999999999999,1.000200740238249
30.79999999999999,1.000052830916689,30.79999999999999,1.000085583337528,30.79999999999999,1.000099416830826,30.79999999999999,1.00014011847186,30.79999999999999,1.000201322952878
32.19999999999999,1.00005393497662,32.19999999999999,1.000087634840858,32.19999999999999,1.000100984163836,32.19999999999999,1.000140948271835,32.19999999999999,1.000201200194579
33.59999999999999,1.00005433372975,33.59999999999999,1.0000890084812,33.59999999999999,1.00010186914599,33.59999999999999,1.000141086895955,33.59999999999999,1.00020037489009
34.99999999999999,1.000054029334366,34.99999999999999,1.000089707430009,34.99999999999999,1.000102074913177,34.99999999999999,1.000140537359092,34.99999999999999,1.000198849914967
36.39999999999998,1.000053023671954,36.39999999999998,1.000089734811923,36.39999999999998,1.000101604554448,36.39999999999998,1.000139302626376,36.39999999999998,1.00019662809052
37.79999999999998,1.000051318871685,37.79999999999998,1.000089093694544,37.79999999999998,1.000100461111365,37.79999999999998,1.000137385614199,37.79999999999998,1.000193712185646
39.19999999999998,1.000048916474433,39.19999999999998,1.000087787121277,39.19999999999998,1.000098647580727,39.19999999999998,1.000134789187646,39.19999999999998,1.00019010491603
40.59999999999998,1.000045817954271,40.59999999999998,1.000085818077801,40.59999999999998,1.000096166909755,40.59999999999998,1.000131516161991,40.59999999999998,1.000185808944074
41.99999999999998,1.000042024548522,41.99999999999998,1.000083189493383,41.99999999999998,1.000093021999131,41.99999999999998,1.00012756930175,41.99999999999998,1.000180826878127
43.39999999999998,1.000037537220444,43.39999999999998,1.000079904255224,43.39999999999998,1.000089215701968,43.39999999999998,1.00012295132074,43.39999999999998,1.000175161272555
44.79999999999998,1.000032356612356,44.79999999999998,1.000075965202529,44.79999999999998,1.000084750823216,44.79999999999998,1.000117664881297,44.79999999999998,1.000168814626833
46.19999999999997,1.000026482988421,46.19999999999997,1.000071375125417,46.19999999999997,1.000079630119452,46.19999999999997,1.000111712593717,46.19999999999997,1.000161789385066
47.59999999999997,1.000019916166498,47.59999999999997,1.00006613676483,47.59999999999997,1.000073856298326,47.59999999999997,1.000105097016007,47.59999999999997,1.000154087935448
48.99999999999997,1.000012655435883,48.99999999999997,1.000060252811592,48.99999999999997,1.000067432017888,48.99999999999997,1.00009782065268,48.99999999999997,1.000145712609117
50.39999999999997,1.00000469946228,50.39999999999997,1.00005372590618,50.39999999999997,1.0000603598859,50.39999999999997,1.000089885954387,50.39999999999997,1.000136665679647
51.79999999999997,0.9999960461791585,51.79999999999997,1.000046558637451,51.79999999999997,1.000052642459178,51.79999999999997,1.000081295316637,51.79999999999997,1.000126949361632
53.19999999999997,0.9999866926679825,53.19999999999997,1.000038753542003,53.19999999999997,1.000044282242379,53.19999999999997,1.000072051078913,53.19999999999997,1.000116565809704
54.59999999999997,0.9999766350328079,54.59999999999997,1.000030313102976,54.59999999999997,1.000035281687381,54.59999999999997,1.000062155523398,54.59999999999997,1.000105517117263
55.99999999999996,0.9999658682764387,55.99999999999996,1.00002123974914,55.99999999999996,1.00002564319163,55.99999999999996,1.000051610873838,55.99999999999996,1.000093805314793
57.39999999999996,0.9999543861881666,57.39999999999996,1.000011535853325,57.39999999999996,1.000015369097242,57.39999999999996,1.000040419293771,57.39999999999996,1.00008143236835
58.79999999999996,0.9999421812566244,58.79999999999996,1.000001203731075,58.79999999999996,1.000004461689239,58.79999999999996,1.000028582884772,58.79999999999996,1.000068400177579
60.19999999999996,0.9999292446176083,60.19999999999996,0.9999902456390946,60.19999999999996,0.9999929231938981,60.19999999999996,1.000016103684998,60.19999999999996,1.000054710573761
61.59999999999996,0.9999155660436529,61.59999999999996,0.9999786637733604,61.59999999999996,0.9999807557770189,61.59999999999996,1.000002983666651,61.59999999999996,1.000040365317394
62.99999999999996,0.999901133974804,62.99999999999996,0.9999664602671094,62.99999999999996,0.9999679615417294,62.99999999999996,0.9999892247337864,62.99999999999996,1.000025366095591
64.39999999999996,0.999885935579428,64.39999999999996,0.999953637188562,64.39999999999996,0.999954542525991,64.39999999999996,0.9999748287197113,64.39999999999996,1.000009714519371
65.79999999999997,0.9998699568271726,65.79999999999997,0.9999401965385599,65.79999999999997,0.9999405007003043,65.79999999999997,0.9999597973840718,65.79999999999997,0.9999934121203117
67.19999999999997,0.9998531825506317,67.19999999999997,0.9999261402477451,67.19999999999997,0.9999258379647309,67.19999999999997,0.9999441324098156,67.19999999999997,0.9999764603469563
68.59999999999998,0.9998355964736949,68.59999999999998,0.999911470173405,68.59999999999998,0.9999105561454498,68.59999999999998,0.9999278353992432,68.59999999999998,0.9999588605613183
70,0.9998171811906208,70,0.9998961880962576,70,0.9998946569916994,70,0.9999109078704649,70,0.9999406140340065
